5,0,PLACA,MARCA,MODELO,2024-10-18T22:30:04.229494700,null,false

2,0,,,,2024-10-18T22:27:22.950740600,2024-10-18T23:12:25.798544900,true

5,0,,,,2024-10-18T22:30:04.229494700,2024-10-18T23:12:41.873845600,true

1,0,PLACA,MARCA,MODELO,2024-10-18T23:13:18.890759700,2024-10-18T22:29:46.746848200,false

1,0,PLACA,MARCA,MODELO,2024-10-19T08:46:09.931924300,2024-10-18T18:38:00.414883600,false

4,0,PLACA2,MARCA2,MODELO2,2024-10-19T08:46:35.076052800,2024-10-18T18:32:13.407090800,false

1,0,PLACA,MARCA,MODELO,2024-10-19T12:50:55.287110100,2024-10-19T08:46:44.340396300,false

4,0,PLACA2,MARCA2,MODELO2,2024-10-19T12:51:23.016018800,2024-10-19T08:46:50.193866400,false

1,0,PLACA,MARCA,MODELO,2024-10-19T15:04:26.783150700,2024-10-19T12:51:37.935288400,false

1,0,PLACA,MARCA,MODELO,2024-10-19T15:09:37.589666900,2024-10-19T15:05:07.905846300,false

1,0,PLACA,MARCA,MODELO,2024-10-19T15:15:33.906722600,null,false

4,0,PLACA2,MARCA2,MODELO2,2024-10-19T15:15:47.625764300,null,false

1,0,PLACA,MARCA,MODELO,2024-10-19T15:19:57.535518800,null,false

2,0,PLACA2,MARCA2,MODELO2,2024-10-19T15:28:31.054621,null,false

